Model name,Model number,Training loss,Validation loss,Test loss,Past horizon,Prediction horizon,Query input type,Others input type,Obstacle input type,Target type,Max epochs,Max steps,Train patience,Batch size,Termination,Training datasets,Validation datasets,Test datasets,Separate goals,Size query agent state,Size other agents state,Size other agents bilstm,Size action encoding,Size decoder lstm,Size fc layer,Date
varyingNQuadsRNN_v2,2,0.0016700027044862509,0.0018295932095497847,0.0019141235388815403,10,15,vel,relpos_vel,none,vel,5,1000000.0,3,64,Max epochs,goalSequence1                    goalSequence2                    goalSequence3                    goalSequence4,goalSequence5,goalSequence8,True,256,256,256,0,512,256,01/05/2020 20:50
varyingNQuadsRNN_v2,2,inf,inf,0.0016625744756311178,10,15,vel,relpos_vel,none,vel,5,1000000.0,3,64,None,goalSequence1                    goalSequence2                    goalSequence3                    goalSequence4,goalSequence5,goalSequence8,True,256,256,256,0,512,256,01/05/2020 20:35
varyingNQuadsRNN_v2,2,inf,inf,0.001662575756199658,10,15,vel,relpos_vel,none,vel,5,1000000.0,3,64,None,goalSequence1                    goalSequence2                    goalSequence3                    goalSequence4,goalSequence5,goalSequence8,True,256,256,256,0,512,256,01/05/2020 20:33
varyingNQuadsRNN_v2,2,0.0016570563893765211,0.0017089269822463393,0.0017089269822463393,10,15,vel,relpos_vel,none,vel,5,1000000.0,3,64,None,goalSequence1                    goalSequence2                    goalSequence3                    goalSequence4,goalSequence5,complexGoalSequence1,True,256,256,256,0,512,256,01/05/2020 20:17
